,INSTNM,CITY,STABBR,WOMENONLY,HBCU,ADM_RATE,SAT_AVG,ACTCMMID,FEMALE,FIRST_GEN,FAMINC,AVGFACSAL,PFTFAC,PCTPELL,DEBT_MDN_SUPP,C150_4_POOLED,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,RET_FT4_POOLED,TRANS_4_POOLED_SUPP,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COMPL_RPY_3YR_RT,FIRSTGEN_RPY_3YR_RT,NET_PRICE
1,Alabama A & M University,Normal,AL,0,1,-0.052421567,-1.563790198,-1.515613002,-0.347541854,0.351963965,-1.041377303,-0.055730831,0.238381836,1.715862546,-0.35259716,-0.802578616,-0.416136887,1.896814703,-0.323815143,-0.279060938,-0.101775684,-0.130669156,-0.295024831,-0.342718666,-0.062178647,-0.719837445,0.679624773,-2.032732187,3.914700056,-0.677662247,-0.629917705,-0.192108595,-0.077076654,-1.086111805,-0.48307068,-0.328855472,-1.820805385,-1.751450116,-0.069265661
2,University of Alabama at Birmingham,Birmingham,AL,0,0,-0.297740875,0.63017174,0.48537986,0.375118223,0.069387188,-0.272156436,1.245282935,0.947262369,-0.314767225,-0.420555812,0.251152912,0.393305867,0.538438702,-0.193995103,0.195170843,0.212668025,-0.059110483,0.256602992,-0.067992301,-0.024129166,0.537060711,0.962408132,0.115709871,0.537213849,-0.524915984,0.28103218,-0.18807497,-0.121239286,0.402608296,-0.314582559,-0.55365485,-0.453265438,-0.156017987,0.546690377
3,Amridge University,Montgomery,AL,0,0,NA,NA,NA,0.112773761,1.5762124,-1.464163216,-1.598755897,1.275454414,1.827590573,-1.035678694,-0.788216078,-0.434857479,-0.209925854,-0.331451615,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-1.484617347,NA,-1.344203771,0.976413554,-0.596865961,-0.658335552,-0.280848356,-0.025553584,-1.086111805,-0.570854407,4.622940775,-1.52254097,-1.825847332,-1.724324044
4,University of Alabama in Huntsville,Huntsville,AL,0,0,0.73160903,1.176815455,1.057092107,-0.9058674,-0.304151608,-0.066170525,0.958199061,-0.091238684,-0.49157954,-0.27493013,-0.097378007,0.063466859,0.00598885,-0.23981394,-0.110583858,0.177729835,-0.059110483,0.195311012,-0.050821903,-0.057172136,0.401223249,1.586859332,0.567337832,-0.126139621,-0.465940593,-0.05682445,0.243522955,-0.143320602,-0.316875969,-0.122024705,-0.286627965,0.092858559,-0.131728074,1.174546648
5,Alabama State University,Montgomery,AL,0,1,-0.993555639,-1.608112661,-1.515613002,0.176389056,0.181444939,-1.027119012,0.319061836,-0.011958342,1.888335908,-0.221728214,-1.108979424,-0.432183109,2.255275036,-0.335269852,-0.291540722,-0.171652064,0.084006861,-0.295024831,-0.239696279,-0.050163021,-0.927983996,-0.694549497,-2.10080703,3.932409722,-0.64345652,-0.607814935,-0.248579352,-0.121239286,-0.649828794,-0.274938295,-0.536267053,-2.182801276,-2.01978897,-1.505623733
6,The University of Alabama,Tuscaloosa,AL,0,0,-0.636727555,0.881332365,1.057092107,0.138296351,-1.012061303,1.266680577,1.037786669,0.270879634,-1.126151343,0.210488811,0.794056843,3.325307207,0.94092048,0.18019207,0.1514916,0.981308202,-0.130669156,-0.295024831,0.515801224,-0.065182554,0.919270263,0.871005302,0.871924132,-0.195966302,-0.476556163,-0.479934622,-0.139671464,-0.110198628,-0.048982892,-0.223967098,-0.623206039,0.076595549,0.015166827,1.63008755
7,Athens State University,Athens,AL,0,0,NA,NA,NA,0.775978598,1.024281964,-0.722646283,0.311346711,-0.706554128,0.080077452,-0.614723388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875814123,-0.148909191,-0.600404484,-0.560451856,0.332262716,-0.117559067,-0.362800497,-0.492981746,-0.231980602,-0.779540283,-0.300327109,NA
8,Auburn University at Montgomery,Montgomery,AL,0,0,0.608205984,-0.529599386,-0.658044633,0.753090915,0.368710738,-0.730998925,0.176128988,1.110822713,0.156009121,-1.197226117,-1.371335115,-0.046182324,0.305753924,-0.297087487,-0.235381695,-0.101775684,-0.130669156,-0.295024831,-0.205355483,-0.046157813,-0.503937674,2.694179058,-0.081901674,1.027518589,-0.6705852,-0.277852152,-0.075133457,-0.080756873,0.123234087,-0.123440572,-0.506459401,-0.247091389,-0.934055439,0.107095786
9,Auburn University,Auburn,AL,0,0,0.556168555,1.154654223,1.057092107,-0.562154852,-1.422766605,1.228324853,1.049156328,0.823342195,-1.331166849,0.210488811,1.057370038,2.560437292,0.349775369,0.027462612,0.226370302,0.806617253,-0.130669156,-0.295024831,-0.050821903,-0.010110936,1.151917396,0.65746881,1.110380583,-0.408988279,-0.521377461,-0.263643228,-0.026729951,-0.139640383,-0.867970299,-0.385375887,-0.55365485,0.608770901,0.696952901,2.01279903
10,Birmingham Southern College,Birmingham,AL,0,0,-0.662994067,0.777913284,0.771235983,-0.620651675,-1.499374643,1.211485242,-0.030961218,-0.094452751,-1.135371617,0.598823964,0.617876379,-0.133545089,-0.130268002,-0.289451014,-0.179222669,-0.031899305,-0.130669156,-0.295024831,-0.342718666,-0.057172136,0.807947517,-0.694549497,0.912769038,-0.173196733,-0.58919916,0.186306022,0.110413315,-0.143320602,-0.745504893,-0.570854407,-0.631899938,1.141045178,0.586072866,-0.026256548
11,South University-Montgomery,Montgomery,AL,0,0,NA,NA,NA,1.415515345,1.17172467,-1.142982647,-1.099709106,-1.536855004,1.538507862,-1.342851799,-2.004723035,-0.425942912,-0.121882965,-0.331451615,-0.297780614,-0.171652064,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-1.725027041,-0.694549497,-0.88790782,2.243413623,-0.583891375,-0.418362619,0.15881682,0.176858479,-1.086111805,-0.539705343,-0.389712762,-1.525814548,-1.895119162,-0.064630199
